Date,inflation rate,unemployment rate,Value of Private Residential Construction,Mortgage Interest Rate,"Percent change of total consumer credit, seasonally adjusted at an annual rate",Home Price Index
01-2018,2.07 % ,4.00%,575299,4.03,3.77,198.26500000000000
02-2018,2.21 % ,4.10%,585549,4.33,3.99,199.20600000000000
03-2018,2.36 % ,4.00%,576915,4.44,3.87,200.15500000000000
04-2018,2.46 % ,4.00%,575694,4.47,3.97,201.00700000000000
05-2018,2.80 % ,3.80%,574864,4.59,6.72,201.78100000000000
06-2018,2.87 % ,4.00%,564660,4.57,1.86,202.46800000000000
07-2018,2.95 % ,3.80%,556155,4.53,5.46,203.00100000000000
08-2018,2.70 % ,3.80%,547261,4.55,5.79,203.72700000000000
09-2018,2.28 % ,3.70%,547817,4.63,5.1,204.33400000000000
10-2018,2.52 % ,3.80%,536260,4.83,5.47,205.03000000000000
11-2018,2.18 % ,3.80%,534182,4.87,6.11,205.53400000000000
12-2018,1.91 %,3.90%,522581,4.64,3.89,205.95300000000000
01-2019,1.55 % ,4.00%,528328,4.46,5.23,206.36700000000000
02-2019,1.52 % ,3.80%,523569,4.37,4.87,206.76300000000000
03-2019,1.86 % ,3.80%,525424,4.27,3.63,207.40400000000000
04-2019,2.00 % ,3.70%,530800,4.14,5.19,208.13400000000000
05-2019,1.79 % ,3.70%,532148,4.07,4.35,208.77200000000000
06-2019,1.65 % ,3.60%,538372,3.8,3.5,209.11500000000000
07-2019,1.81 % ,3.60%,543830,3.77,6.55,209.50000000000000
08-2019,1.75 % ,3.70%,552508,3.62,4.25,210.18600000000000
09-2019,1.71 % ,3.50%,555879,3.61,3.72,210.87900000000000
10-2019,1.76 % ,3.60%,556693,3.69,3.74,211.59300000000000
11-2019,2.05 % ,3.60%,566916,3.7,1.96,212.50900000000000
12-2019,2.29 %,3.60%,572387,3.72,6.56,213.50100000000000
01-2020,2.49 % ,3.50%,589103,3.62,2.76,214.55200000000000
02-2020,2.33 % ,3.50%,592960,3.47,5.55,215.54400000000000
03-2020,1.54 % ,4.40%,588060,3.45,-5.33,216.79000000000000
04-2020,0.33 % ,14.80%,562339,3.31,-18.34,217.65600000000000
05-2020,0.12 % ,13.30%,539555,3.23,-3.77,217.87200000000000
06-2020,0.65 % ,11.10%,553721,3.16,5.4,218.29000000000000
07-2020,0.99 % ,10.20%,575451,3.02,3.72,219.65000000000000
08-2020,1.31 % ,8.40%,615396,2.94,-2.6,222.43200000000000
09-2020,1.37 % ,7.80%,620941,2.89,4.96,225.60800000000000
10-2020,1.18 % ,6.90%,650484,2.83,0.46,229.33900000000000
11-2020,1.17 % ,6.70%,670427,2.77,3.86,232.67300000000000
12-2020,1.36 %,6.70%,695675,2.68,2.53,235.62700000000000
